index	block_id	route_kind	shape_family	legal_states	texture_layout	texture_sheet	counterpart
14	rechiseledcreate:acacia_window_tiles	forced-disconnected-tile0	axis	3	full	rechiseledcreate:block/acacia_window_tiles_side	rechiseledcreate:acacia_window_tiles_connecting
15	rechiseledcreate:acacia_window_tiles_connecting	predicate-connected	axis	3	full	rechiseledcreate:block/acacia_window_tiles_side	rechiseledcreate:acacia_window_tiles
16	rechiseledcreate:andesite_cut_polished_connecting	predicate-connected	full	1	full	rechiseledcreate:block/andesite_cut_polished	-
17	rechiseledcreate:andesite_cut_polished_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/andesite_cut_polished	-
18	rechiseledcreate:andesite_cut_polished_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/andesite_cut_polished	-
19	rechiseledcreate:andesite_cut_small_brick_connecting	predicate-connected	full	1	full	rechiseledcreate:block/andesite_cut_small_brick	-
20	rechiseledcreate:andesite_cut_small_brick_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/andesite_cut_small_brick	-
21	rechiseledcreate:andesite_cut_small_brick_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/andesite_cut_small_brick	-
22	rechiseledcreate:asurine_cut_polished_connecting	predicate-connected	full	1	full	rechiseledcreate:block/asurine_cut_polished	-
23	rechiseledcreate:asurine_cut_polished_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/asurine_cut_polished	-
24	rechiseledcreate:asurine_cut_polished_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/asurine_cut_polished	-
25	rechiseledcreate:asurine_cut_small_brick_connecting	predicate-connected	full	1	full	rechiseledcreate:block/asurine_cut_small_brick	-
26	rechiseledcreate:asurine_cut_small_brick_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/asurine_cut_small_brick	-
27	rechiseledcreate:asurine_cut_small_brick_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/asurine_cut_small_brick	-
28	rechiseledcreate:birch_window_bars	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/birch_window_bars_side	rechiseledcreate:birch_window_bars_connecting
29	rechiseledcreate:birch_window_bars_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/birch_window_bars_side	rechiseledcreate:birch_window_bars
30	rechiseledcreate:birch_window_diagonal	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/birch_window_diagonal_side	rechiseledcreate:birch_window_diagonal_connecting
31	rechiseledcreate:birch_window_diagonal_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/birch_window_diagonal_side	rechiseledcreate:birch_window_diagonal
32	rechiseledcreate:birch_window_large	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/birch_window_large_side	rechiseledcreate:birch_window_large_connecting
33	rechiseledcreate:birch_window_large_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/birch_window_large_side	rechiseledcreate:birch_window_large
34	rechiseledcreate:birch_window_panes	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/birch_window_panes_side	rechiseledcreate:birch_window_panes_connecting
35	rechiseledcreate:birch_window_panes_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/birch_window_panes_side	rechiseledcreate:birch_window_panes
36	rechiseledcreate:birch_window_rounded	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/birch_window_rounded_side	rechiseledcreate:birch_window_rounded_connecting
37	rechiseledcreate:birch_window_rounded_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/birch_window_rounded_side	rechiseledcreate:birch_window_rounded
38	rechiseledcreate:birch_window_slim	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/birch_window_slim_side	rechiseledcreate:birch_window_slim_connecting
39	rechiseledcreate:birch_window_slim_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/birch_window_slim_side	rechiseledcreate:birch_window_slim
40	rechiseledcreate:birch_window_swirling	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/birch_window_swirling_side	rechiseledcreate:birch_window_swirling_connecting
41	rechiseledcreate:birch_window_swirling_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/birch_window_swirling_side	rechiseledcreate:birch_window_swirling
42	rechiseledcreate:birch_window_tiles	forced-disconnected-tile0	axis	3	full	rechiseledcreate:block/birch_window_tiles_side	rechiseledcreate:birch_window_tiles_connecting
43	rechiseledcreate:birch_window_tiles_connecting	predicate-connected	axis	3	full	rechiseledcreate:block/birch_window_tiles_side	rechiseledcreate:birch_window_tiles
44	rechiseledcreate:calcite_cut_polished_connecting	predicate-connected	full	1	full	rechiseledcreate:block/calcite_cut_polished	-
45	rechiseledcreate:calcite_cut_polished_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/calcite_cut_polished	-
46	rechiseledcreate:calcite_cut_polished_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/calcite_cut_polished	-
47	rechiseledcreate:calcite_cut_small_brick_connecting	predicate-connected	full	1	full	rechiseledcreate:block/calcite_cut_small_brick	-
48	rechiseledcreate:calcite_cut_small_brick_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/calcite_cut_small_brick	-
49	rechiseledcreate:calcite_cut_small_brick_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/calcite_cut_small_brick	-
50	rechiseledcreate:crimsite_cut_polished_connecting	predicate-connected	full	1	full	rechiseledcreate:block/crimsite_cut_polished	-
51	rechiseledcreate:crimsite_cut_polished_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/crimsite_cut_polished	-
52	rechiseledcreate:crimsite_cut_polished_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/crimsite_cut_polished	-
53	rechiseledcreate:crimsite_cut_small_brick_connecting	predicate-connected	full	1	full	rechiseledcreate:block/crimsite_cut_small_brick	-
54	rechiseledcreate:crimsite_cut_small_brick_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/crimsite_cut_small_brick	-
55	rechiseledcreate:crimsite_cut_small_brick_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/crimsite_cut_small_brick	-
56	rechiseledcreate:crimson_window_bars	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/crimson_window_bars_side	rechiseledcreate:crimson_window_bars_connecting
57	rechiseledcreate:crimson_window_bars_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/crimson_window_bars_side	rechiseledcreate:crimson_window_bars
58	rechiseledcreate:crimson_window_covered	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/crimson_window_covered_side	rechiseledcreate:crimson_window_covered_connecting
59	rechiseledcreate:crimson_window_covered_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/crimson_window_covered_side	rechiseledcreate:crimson_window_covered
60	rechiseledcreate:crimson_window_large	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/crimson_window_large_side	rechiseledcreate:crimson_window_large_connecting
61	rechiseledcreate:crimson_window_large_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/crimson_window_large_side	rechiseledcreate:crimson_window_large
62	rechiseledcreate:crimson_window_panes	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/crimson_window_panes_side	rechiseledcreate:crimson_window_panes_connecting
63	rechiseledcreate:crimson_window_panes_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/crimson_window_panes_side	rechiseledcreate:crimson_window_panes
64	rechiseledcreate:crimson_window_rounded	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/crimson_window_rounded_side	rechiseledcreate:crimson_window_rounded_connecting
65	rechiseledcreate:crimson_window_rounded_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/crimson_window_rounded_side	rechiseledcreate:crimson_window_rounded
66	rechiseledcreate:crimson_window_slim	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/crimson_window_slim_side	rechiseledcreate:crimson_window_slim_connecting
67	rechiseledcreate:crimson_window_slim_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/crimson_window_slim_side	rechiseledcreate:crimson_window_slim
68	rechiseledcreate:crimson_window_swirling	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/crimson_window_swirling_side	rechiseledcreate:crimson_window_swirling_connecting
69	rechiseledcreate:crimson_window_swirling_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/crimson_window_swirling_side	rechiseledcreate:crimson_window_swirling
70	rechiseledcreate:crimson_window_tiles	forced-disconnected-tile0	axis	3	full	rechiseledcreate:block/crimson_window_tiles_side	rechiseledcreate:crimson_window_tiles_connecting
71	rechiseledcreate:crimson_window_tiles_connecting	predicate-connected	axis	3	full	rechiseledcreate:block/crimson_window_tiles_side	rechiseledcreate:crimson_window_tiles
72	rechiseledcreate:dark_oak_window_bars	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/dark_oak_window_bars_side	rechiseledcreate:dark_oak_window_bars_connecting
73	rechiseledcreate:dark_oak_window_bars_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/dark_oak_window_bars_side	rechiseledcreate:dark_oak_window_bars
74	rechiseledcreate:dark_oak_window_covered	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/dark_oak_window_covered_side	rechiseledcreate:dark_oak_window_covered_connecting
75	rechiseledcreate:dark_oak_window_covered_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/dark_oak_window_covered_side	rechiseledcreate:dark_oak_window_covered
76	rechiseledcreate:dark_oak_window_diagonal	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/dark_oak_window_diagonal_side	rechiseledcreate:dark_oak_window_diagonal_connecting
77	rechiseledcreate:dark_oak_window_diagonal_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/dark_oak_window_diagonal_side	rechiseledcreate:dark_oak_window_diagonal
78	rechiseledcreate:dark_oak_window_panes	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/dark_oak_window_panes_side	rechiseledcreate:dark_oak_window_panes_connecting
79	rechiseledcreate:dark_oak_window_panes_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/dark_oak_window_panes_side	rechiseledcreate:dark_oak_window_panes
80	rechiseledcreate:dark_oak_window_rounded	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/dark_oak_window_rounded_side	rechiseledcreate:dark_oak_window_rounded_connecting
81	rechiseledcreate:dark_oak_window_rounded_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/dark_oak_window_rounded_side	rechiseledcreate:dark_oak_window_rounded
82	rechiseledcreate:dark_oak_window_slim	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/dark_oak_window_slim_side	rechiseledcreate:dark_oak_window_slim_connecting
83	rechiseledcreate:dark_oak_window_slim_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/dark_oak_window_slim_side	rechiseledcreate:dark_oak_window_slim
84	rechiseledcreate:dark_oak_window_swirling	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/dark_oak_window_swirling_side	rechiseledcreate:dark_oak_window_swirling_connecting
85	rechiseledcreate:dark_oak_window_swirling_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/dark_oak_window_swirling_side	rechiseledcreate:dark_oak_window_swirling
86	rechiseledcreate:dark_oak_window_tiles	forced-disconnected-tile0	axis	3	full	rechiseledcreate:block/dark_oak_window_tiles_side	rechiseledcreate:dark_oak_window_tiles_connecting
87	rechiseledcreate:dark_oak_window_tiles_connecting	predicate-connected	axis	3	full	rechiseledcreate:block/dark_oak_window_tiles_side	rechiseledcreate:dark_oak_window_tiles
88	rechiseledcreate:deepslate_cut_polished_connecting	predicate-connected	full	1	full	rechiseledcreate:block/deepslate_cut_polished	-
89	rechiseledcreate:deepslate_cut_polished_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/deepslate_cut_polished	-
90	rechiseledcreate:deepslate_cut_polished_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/deepslate_cut_polished	-
91	rechiseledcreate:deepslate_cut_small_brick_connecting	predicate-connected	full	1	full	rechiseledcreate:block/deepslate_cut_small_brick	-
92	rechiseledcreate:deepslate_cut_small_brick_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/deepslate_cut_small_brick	-
93	rechiseledcreate:deepslate_cut_small_brick_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/deepslate_cut_small_brick	-
94	rechiseledcreate:diorite_cut_polished_connecting	predicate-connected	full	1	full	rechiseledcreate:block/diorite_cut_polished	-
95	rechiseledcreate:diorite_cut_polished_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/diorite_cut_polished	-
96	rechiseledcreate:diorite_cut_polished_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/diorite_cut_polished	-
97	rechiseledcreate:diorite_cut_small_brick_connecting	predicate-connected	full	1	full	rechiseledcreate:block/diorite_cut_small_brick	-
98	rechiseledcreate:diorite_cut_small_brick_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/diorite_cut_small_brick	-
99	rechiseledcreate:diorite_cut_small_brick_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/diorite_cut_small_brick	-
100	rechiseledcreate:dripstone_cut_polished_connecting	predicate-connected	full	1	full	rechiseledcreate:block/dripstone_cut_polished	-
101	rechiseledcreate:dripstone_cut_polished_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/dripstone_cut_polished	-
102	rechiseledcreate:dripstone_cut_polished_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/dripstone_cut_polished	-
103	rechiseledcreate:dripstone_cut_small_brick_connecting	predicate-connected	full	1	full	rechiseledcreate:block/dripstone_cut_small_brick	-
104	rechiseledcreate:dripstone_cut_small_brick_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/dripstone_cut_small_brick	-
105	rechiseledcreate:dripstone_cut_small_brick_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/dripstone_cut_small_brick	-
106	rechiseledcreate:granite_cut_polished_connecting	predicate-connected	full	1	full	rechiseledcreate:block/granite_cut_polished	-
107	rechiseledcreate:granite_cut_polished_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/granite_cut_polished	-
108	rechiseledcreate:granite_cut_polished_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/granite_cut_polished	-
109	rechiseledcreate:granite_cut_small_brick_connecting	predicate-connected	full	1	full	rechiseledcreate:block/granite_cut_small_brick	-
110	rechiseledcreate:granite_cut_small_brick_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/granite_cut_small_brick	-
111	rechiseledcreate:granite_cut_small_brick_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/granite_cut_small_brick	-
112	rechiseledcreate:jungle_window_bars	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/jungle_window_bars_side	rechiseledcreate:jungle_window_bars_connecting
113	rechiseledcreate:jungle_window_bars_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/jungle_window_bars_side	rechiseledcreate:jungle_window_bars
114	rechiseledcreate:jungle_window_covered	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/jungle_window_covered_side	rechiseledcreate:jungle_window_covered_connecting
115	rechiseledcreate:jungle_window_covered_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/jungle_window_covered_side	rechiseledcreate:jungle_window_covered
116	rechiseledcreate:jungle_window_diagonal	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/jungle_window_diagonal_side	rechiseledcreate:jungle_window_diagonal_connecting
117	rechiseledcreate:jungle_window_diagonal_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/jungle_window_diagonal_side	rechiseledcreate:jungle_window_diagonal
118	rechiseledcreate:jungle_window_large	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/jungle_window_large_side	rechiseledcreate:jungle_window_large_connecting
119	rechiseledcreate:jungle_window_large_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/jungle_window_large_side	rechiseledcreate:jungle_window_large
120	rechiseledcreate:jungle_window_panes	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/jungle_window_panes_side	rechiseledcreate:jungle_window_panes_connecting
121	rechiseledcreate:jungle_window_panes_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/jungle_window_panes_side	rechiseledcreate:jungle_window_panes
122	rechiseledcreate:jungle_window_rounded	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/jungle_window_rounded_side	rechiseledcreate:jungle_window_rounded_connecting
123	rechiseledcreate:jungle_window_rounded_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/jungle_window_rounded_side	rechiseledcreate:jungle_window_rounded
124	rechiseledcreate:jungle_window_swirling	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/jungle_window_swirling_side	rechiseledcreate:jungle_window_swirling_connecting
125	rechiseledcreate:jungle_window_swirling_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/jungle_window_swirling_side	rechiseledcreate:jungle_window_swirling
126	rechiseledcreate:jungle_window_tiles	forced-disconnected-tile0	axis	3	full	rechiseledcreate:block/jungle_window_tiles_side	rechiseledcreate:jungle_window_tiles_connecting
127	rechiseledcreate:jungle_window_tiles_connecting	predicate-connected	axis	3	full	rechiseledcreate:block/jungle_window_tiles_side	rechiseledcreate:jungle_window_tiles
128	rechiseledcreate:limestone_cut_polished_connecting	predicate-connected	full	1	full	rechiseledcreate:block/limestone_cut_polished	-
129	rechiseledcreate:limestone_cut_polished_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/limestone_cut_polished	-
130	rechiseledcreate:limestone_cut_polished_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/limestone_cut_polished	-
131	rechiseledcreate:limestone_cut_small_brick_connecting	predicate-connected	full	1	full	rechiseledcreate:block/limestone_cut_small_brick	-
132	rechiseledcreate:limestone_cut_small_brick_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/limestone_cut_small_brick	-
133	rechiseledcreate:limestone_cut_small_brick_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/limestone_cut_small_brick	-
134	rechiseledcreate:mangrove_window_bars	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/mangrove_window_bars_side	rechiseledcreate:mangrove_window_bars_connecting
135	rechiseledcreate:mangrove_window_bars_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/mangrove_window_bars_side	rechiseledcreate:mangrove_window_bars
136	rechiseledcreate:mangrove_window_covered	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/mangrove_window_covered_side	rechiseledcreate:mangrove_window_covered_connecting
137	rechiseledcreate:mangrove_window_covered_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/mangrove_window_covered_side	rechiseledcreate:mangrove_window_covered
138	rechiseledcreate:mangrove_window_diagonal	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/mangrove_window_diagonal_side	rechiseledcreate:mangrove_window_diagonal_connecting
139	rechiseledcreate:mangrove_window_diagonal_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/mangrove_window_diagonal_side	rechiseledcreate:mangrove_window_diagonal
140	rechiseledcreate:mangrove_window_large	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/mangrove_window_large_side	rechiseledcreate:mangrove_window_large_connecting
141	rechiseledcreate:mangrove_window_large_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/mangrove_window_large_side	rechiseledcreate:mangrove_window_large
142	rechiseledcreate:mangrove_window_panes	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/mangrove_window_panes_side	rechiseledcreate:mangrove_window_panes_connecting
143	rechiseledcreate:mangrove_window_panes_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/mangrove_window_panes_side	rechiseledcreate:mangrove_window_panes
144	rechiseledcreate:mangrove_window_slim	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/mangrove_window_slim_side	rechiseledcreate:mangrove_window_slim_connecting
145	rechiseledcreate:mangrove_window_slim_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/mangrove_window_slim_side	rechiseledcreate:mangrove_window_slim
146	rechiseledcreate:mangrove_window_swirling	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/mangrove_window_swirling_side	rechiseledcreate:mangrove_window_swirling_connecting
147	rechiseledcreate:mangrove_window_swirling_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/mangrove_window_swirling_side	rechiseledcreate:mangrove_window_swirling
148	rechiseledcreate:mangrove_window_tiles	forced-disconnected-tile0	axis	3	full	rechiseledcreate:block/mangrove_window_tiles_side	rechiseledcreate:mangrove_window_tiles_connecting
149	rechiseledcreate:mangrove_window_tiles_connecting	predicate-connected	axis	3	full	rechiseledcreate:block/mangrove_window_tiles_side	rechiseledcreate:mangrove_window_tiles
150	rechiseledcreate:mechanical_chisel	mechanical-chisel	mechanical	24	create-static-plus-dynamic	create:block/mechanical_saw	-
151	rechiseledcreate:oak_window_bars	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/oak_window_bars_side	rechiseledcreate:oak_window_bars_connecting
152	rechiseledcreate:oak_window_bars_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/oak_window_bars_side	rechiseledcreate:oak_window_bars
153	rechiseledcreate:oak_window_covered	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/oak_window_covered_side	rechiseledcreate:oak_window_covered_connecting
154	rechiseledcreate:oak_window_covered_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/oak_window_covered_side	rechiseledcreate:oak_window_covered
155	rechiseledcreate:oak_window_diagonal	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/oak_window_diagonal_side	rechiseledcreate:oak_window_diagonal_connecting
156	rechiseledcreate:oak_window_diagonal_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/oak_window_diagonal_side	rechiseledcreate:oak_window_diagonal
157	rechiseledcreate:oak_window_large	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/oak_window_large_side	rechiseledcreate:oak_window_large_connecting
158	rechiseledcreate:oak_window_large_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/oak_window_large_side	rechiseledcreate:oak_window_large
159	rechiseledcreate:oak_window_rounded	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/oak_window_rounded_side	rechiseledcreate:oak_window_rounded_connecting
160	rechiseledcreate:oak_window_rounded_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/oak_window_rounded_side	rechiseledcreate:oak_window_rounded
161	rechiseledcreate:oak_window_slim	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/oak_window_slim_side	rechiseledcreate:oak_window_slim_connecting
162	rechiseledcreate:oak_window_slim_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/oak_window_slim_side	rechiseledcreate:oak_window_slim
163	rechiseledcreate:oak_window_swirling	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/oak_window_swirling_side	rechiseledcreate:oak_window_swirling_connecting
164	rechiseledcreate:oak_window_swirling_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/oak_window_swirling_side	rechiseledcreate:oak_window_swirling
165	rechiseledcreate:oak_window_tiles	forced-disconnected-tile0	axis	3	full	rechiseledcreate:block/oak_window_tiles_side	rechiseledcreate:oak_window_tiles_connecting
166	rechiseledcreate:oak_window_tiles_connecting	predicate-connected	axis	3	full	rechiseledcreate:block/oak_window_tiles_side	rechiseledcreate:oak_window_tiles
167	rechiseledcreate:ochrum_cut_polished_connecting	predicate-connected	full	1	full	rechiseledcreate:block/ochrum_cut_polished	-
168	rechiseledcreate:ochrum_cut_polished_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/ochrum_cut_polished	-
169	rechiseledcreate:ochrum_cut_polished_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/ochrum_cut_polished	-
170	rechiseledcreate:ochrum_cut_small_brick_connecting	predicate-connected	full	1	full	rechiseledcreate:block/ochrum_cut_small_brick	-
171	rechiseledcreate:ochrum_cut_small_brick_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/ochrum_cut_small_brick	-
172	rechiseledcreate:ochrum_cut_small_brick_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/ochrum_cut_small_brick	-
173	rechiseledcreate:rose_quartz_bricks	forced-disconnected-tile0	full	1	simple	rechiseledcreate:block/rose_quartz_bricks	rechiseledcreate:rose_quartz_bricks_connecting
174	rechiseledcreate:rose_quartz_bricks_connecting	predicate-connected	full	1	simple	rechiseledcreate:block/rose_quartz_bricks	rechiseledcreate:rose_quartz_bricks
175	rechiseledcreate:rose_quartz_chiseled	forced-disconnected-tile0	full	1	full	rechiseledcreate:block/rose_quartz_chiseled	rechiseledcreate:rose_quartz_chiseled_connecting
176	rechiseledcreate:rose_quartz_chiseled_connecting	predicate-connected	full	1	full	rechiseledcreate:block/rose_quartz_chiseled	rechiseledcreate:rose_quartz_chiseled
177	rechiseledcreate:rose_quartz_crushed	forced-disconnected-tile0	full	1	full	rechiseledcreate:block/rose_quartz_crushed	rechiseledcreate:rose_quartz_crushed_connecting
178	rechiseledcreate:rose_quartz_crushed_connecting	predicate-connected	full	1	full	rechiseledcreate:block/rose_quartz_crushed	rechiseledcreate:rose_quartz_crushed
