index	case_id	section	x	y	z	placements	notes
32	connected-birch_window_large_connecting	connected-census	174	100	165	1	isolated default-state census of an exact predicate-connected route
33	forced-disconnected-birch_window_large	forced-disconnected	175	100	165	1	matching bridge route whose Fusion sheet must be forced to tile 0
34	connected-birch_window_panes_connecting	connected-census	177	100	165	1	isolated default-state census of an exact predicate-connected route
35	forced-disconnected-birch_window_panes	forced-disconnected	178	100	165	1	matching bridge route whose Fusion sheet must be forced to tile 0
36	connected-birch_window_rounded_connecting	connected-census	180	100	165	1	isolated default-state census of an exact predicate-connected route
37	forced-disconnected-birch_window_rounded	forced-disconnected	181	100	165	1	matching bridge route whose Fusion sheet must be forced to tile 0
38	connected-birch_window_slim_connecting	connected-census	183	100	165	1	isolated default-state census of an exact predicate-connected route
39	forced-disconnected-birch_window_slim	forced-disconnected	184	100	165	1	matching bridge route whose Fusion sheet must be forced to tile 0
40	connected-birch_window_swirling_connecting	connected-census	186	100	165	1	isolated default-state census of an exact predicate-connected route
41	forced-disconnected-birch_window_swirling	forced-disconnected	187	100	165	1	matching bridge route whose Fusion sheet must be forced to tile 0
42	connected-birch_window_tiles_connecting	connected-census	189	100	165	1	isolated default-state census of an exact predicate-connected route
43	forced-disconnected-birch_window_tiles	forced-disconnected	190	100	165	1	matching bridge route whose Fusion sheet must be forced to tile 0
44	connected-calcite_cut_polished_connecting	connected-census	192	100	165	1	isolated default-state census of an exact predicate-connected route
45	connected-calcite_cut_polished_slab_connecting	connected-census	195	100	165	1	isolated default-state census of an exact predicate-connected route
46	connected-calcite_cut_polished_stairs_connecting	connected-census	198	100	165	1	isolated default-state census of an exact predicate-connected route
47	connected-calcite_cut_small_brick_connecting	connected-census	201	100	165	1	isolated default-state census of an exact predicate-connected route
48	connected-calcite_cut_small_brick_slab_connecting	connected-census	204	100	165	1	isolated default-state census of an exact predicate-connected route
49	connected-calcite_cut_small_brick_stairs_connecting	connected-census	207	100	165	1	isolated default-state census of an exact predicate-connected route
50	connected-crimsite_cut_polished_connecting	connected-census	210	100	165	1	isolated default-state census of an exact predicate-connected route
51	connected-crimsite_cut_polished_slab_connecting	connected-census	213	100	165	1	isolated default-state census of an exact predicate-connected route
52	connected-crimsite_cut_polished_stairs_connecting	connected-census	162	100	168	1	isolated default-state census of an exact predicate-connected route
53	connected-crimsite_cut_small_brick_connecting	connected-census	165	100	168	1	isolated default-state census of an exact predicate-connected route
54	connected-crimsite_cut_small_brick_slab_connecting	connected-census	168	100	168	1	isolated default-state census of an exact predicate-connected route
55	connected-crimsite_cut_small_brick_stairs_connecting	connected-census	171	100	168	1	isolated default-state census of an exact predicate-connected route
56	connected-crimson_window_bars_connecting	connected-census	174	100	168	1	isolated default-state census of an exact predicate-connected route
57	forced-disconnected-crimson_window_bars	forced-disconnected	175	100	168	1	matching bridge route whose Fusion sheet must be forced to tile 0
58	connected-crimson_window_covered_connecting	connected-census	177	100	168	1	isolated default-state census of an exact predicate-connected route
59	forced-disconnected-crimson_window_covered	forced-disconnected	178	100	168	1	matching bridge route whose Fusion sheet must be forced to tile 0
60	connected-crimson_window_large_connecting	connected-census	180	100	168	1	isolated default-state census of an exact predicate-connected route
61	forced-disconnected-crimson_window_large	forced-disconnected	181	100	168	1	matching bridge route whose Fusion sheet must be forced to tile 0
62	connected-crimson_window_panes_connecting	connected-census	183	100	168	1	isolated default-state census of an exact predicate-connected route
63	forced-disconnected-crimson_window_panes	forced-disconnected	184	100	168	1	matching bridge route whose Fusion sheet must be forced to tile 0
64	connected-crimson_window_rounded_connecting	connected-census	186	100	168	1	isolated default-state census of an exact predicate-connected route
65	forced-disconnected-crimson_window_rounded	forced-disconnected	187	100	168	1	matching bridge route whose Fusion sheet must be forced to tile 0
66	connected-crimson_window_slim_connecting	connected-census	189	100	168	1	isolated default-state census of an exact predicate-connected route
67	forced-disconnected-crimson_window_slim	forced-disconnected	190	100	168	1	matching bridge route whose Fusion sheet must be forced to tile 0
68	connected-crimson_window_swirling_connecting	connected-census	192	100	168	1	isolated default-state census of an exact predicate-connected route
69	forced-disconnected-crimson_window_swirling	forced-disconnected	193	100	168	1	matching bridge route whose Fusion sheet must be forced to tile 0
70	connected-crimson_window_tiles_connecting	connected-census	195	100	168	1	isolated default-state census of an exact predicate-connected route
71	forced-disconnected-crimson_window_tiles	forced-disconnected	196	100	168	1	matching bridge route whose Fusion sheet must be forced to tile 0
72	connected-dark_oak_window_bars_connecting	connected-census	198	100	168	1	isolated default-state census of an exact predicate-connected route
73	forced-disconnected-dark_oak_window_bars	forced-disconnected	199	100	168	1	matching bridge route whose Fusion sheet must be forced to tile 0
74	connected-dark_oak_window_covered_connecting	connected-census	201	100	168	1	isolated default-state census of an exact predicate-connected route
75	forced-disconnected-dark_oak_window_covered	forced-disconnected	202	100	168	1	matching bridge route whose Fusion sheet must be forced to tile 0
76	connected-dark_oak_window_diagonal_connecting	connected-census	204	100	168	1	isolated default-state census of an exact predicate-connected route
77	forced-disconnected-dark_oak_window_diagonal	forced-disconnected	205	100	168	1	matching bridge route whose Fusion sheet must be forced to tile 0
78	connected-dark_oak_window_panes_connecting	connected-census	207	100	168	1	isolated default-state census of an exact predicate-connected route
79	forced-disconnected-dark_oak_window_panes	forced-disconnected	208	100	168	1	matching bridge route whose Fusion sheet must be forced to tile 0
80	connected-dark_oak_window_rounded_connecting	connected-census	210	100	168	1	isolated default-state census of an exact predicate-connected route
81	forced-disconnected-dark_oak_window_rounded	forced-disconnected	211	100	168	1	matching bridge route whose Fusion sheet must be forced to tile 0
82	connected-dark_oak_window_slim_connecting	connected-census	213	100	168	1	isolated default-state census of an exact predicate-connected route
83	forced-disconnected-dark_oak_window_slim	forced-disconnected	214	100	168	1	matching bridge route whose Fusion sheet must be forced to tile 0
84	connected-dark_oak_window_swirling_connecting	connected-census	162	100	171	1	isolated default-state census of an exact predicate-connected route
85	forced-disconnected-dark_oak_window_swirling	forced-disconnected	163	100	171	1	matching bridge route whose Fusion sheet must be forced to tile 0
86	connected-dark_oak_window_tiles_connecting	connected-census	165	100	171	1	isolated default-state census of an exact predicate-connected route
87	forced-disconnected-dark_oak_window_tiles	forced-disconnected	166	100	171	1	matching bridge route whose Fusion sheet must be forced to tile 0
88	connected-deepslate_cut_polished_connecting	connected-census	168	100	171	1	isolated default-state census of an exact predicate-connected route
89	connected-deepslate_cut_polished_slab_connecting	connected-census	171	100	171	1	isolated default-state census of an exact predicate-connected route
90	connected-deepslate_cut_polished_stairs_connecting	connected-census	174	100	171	1	isolated default-state census of an exact predicate-connected route
91	connected-deepslate_cut_small_brick_connecting	connected-census	177	100	171	1	isolated default-state census of an exact predicate-connected route
92	connected-deepslate_cut_small_brick_slab_connecting	connected-census	180	100	171	1	isolated default-state census of an exact predicate-connected route
93	connected-deepslate_cut_small_brick_stairs_connecting	connected-census	183	100	171	1	isolated default-state census of an exact predicate-connected route
94	connected-diorite_cut_polished_connecting	connected-census	186	100	171	1	isolated default-state census of an exact predicate-connected route
95	connected-diorite_cut_polished_slab_connecting	connected-census	189	100	171	1	isolated default-state census of an exact predicate-connected route
96	connected-diorite_cut_polished_stairs_connecting	connected-census	192	100	171	1	isolated default-state census of an exact predicate-connected route
97	connected-diorite_cut_small_brick_connecting	connected-census	195	100	171	1	isolated default-state census of an exact predicate-connected route
98	connected-diorite_cut_small_brick_slab_connecting	connected-census	198	100	171	1	isolated default-state census of an exact predicate-connected route
99	connected-diorite_cut_small_brick_stairs_connecting	connected-census	201	100	171	1	isolated default-state census of an exact predicate-connected route
100	connected-dripstone_cut_polished_connecting	connected-census	204	100	171	1	isolated default-state census of an exact predicate-connected route
101	connected-dripstone_cut_polished_slab_connecting	connected-census	207	100	171	1	isolated default-state census of an exact predicate-connected route
102	connected-dripstone_cut_polished_stairs_connecting	connected-census	210	100	171	1	isolated default-state census of an exact predicate-connected route
103	connected-dripstone_cut_small_brick_connecting	connected-census	213	100	171	1	isolated default-state census of an exact predicate-connected route
104	connected-dripstone_cut_small_brick_slab_connecting	connected-census	162	100	174	1	isolated default-state census of an exact predicate-connected route
105	connected-dripstone_cut_small_brick_stairs_connecting	connected-census	165	100	174	1	isolated default-state census of an exact predicate-connected route
106	connected-granite_cut_polished_connecting	connected-census	168	100	174	1	isolated default-state census of an exact predicate-connected route
107	connected-granite_cut_polished_slab_connecting	connected-census	171	100	174	1	isolated default-state census of an exact predicate-connected route
108	connected-granite_cut_polished_stairs_connecting	connected-census	174	100	174	1	isolated default-state census of an exact predicate-connected route
109	connected-granite_cut_small_brick_connecting	connected-census	177	100	174	1	isolated default-state census of an exact predicate-connected route
110	connected-granite_cut_small_brick_slab_connecting	connected-census	180	100	174	1	isolated default-state census of an exact predicate-connected route
111	connected-granite_cut_small_brick_stairs_connecting	connected-census	183	100	174	1	isolated default-state census of an exact predicate-connected route
112	connected-jungle_window_bars_connecting	connected-census	186	100	174	1	isolated default-state census of an exact predicate-connected route
113	forced-disconnected-jungle_window_bars	forced-disconnected	187	100	174	1	matching bridge route whose Fusion sheet must be forced to tile 0
114	connected-jungle_window_covered_connecting	connected-census	189	100	174	1	isolated default-state census of an exact predicate-connected route
115	forced-disconnected-jungle_window_covered	forced-disconnected	190	100	174	1	matching bridge route whose Fusion sheet must be forced to tile 0
116	connected-jungle_window_diagonal_connecting	connected-census	192	100	174	1	isolated default-state census of an exact predicate-connected route
117	forced-disconnected-jungle_window_diagonal	forced-disconnected	193	100	174	1	matching bridge route whose Fusion sheet must be forced to tile 0
118	connected-jungle_window_large_connecting	connected-census	195	100	174	1	isolated default-state census of an exact predicate-connected route
119	forced-disconnected-jungle_window_large	forced-disconnected	196	100	174	1	matching bridge route whose Fusion sheet must be forced to tile 0
120	connected-jungle_window_panes_connecting	connected-census	198	100	174	1	isolated default-state census of an exact predicate-connected route
121	forced-disconnected-jungle_window_panes	forced-disconnected	199	100	174	1	matching bridge route whose Fusion sheet must be forced to tile 0
122	connected-jungle_window_rounded_connecting	connected-census	201	100	174	1	isolated default-state census of an exact predicate-connected route
123	forced-disconnected-jungle_window_rounded	forced-disconnected	202	100	174	1	matching bridge route whose Fusion sheet must be forced to tile 0
124	connected-jungle_window_swirling_connecting	connected-census	204	100	174	1	isolated default-state census of an exact predicate-connected route
125	forced-disconnected-jungle_window_swirling	forced-disconnected	205	100	174	1	matching bridge route whose Fusion sheet must be forced to tile 0
126	connected-jungle_window_tiles_connecting	connected-census	207	100	174	1	isolated default-state census of an exact predicate-connected route
127	forced-disconnected-jungle_window_tiles	forced-disconnected	208	100	174	1	matching bridge route whose Fusion sheet must be forced to tile 0
128	connected-limestone_cut_polished_connecting	connected-census	210	100	174	1	isolated default-state census of an exact predicate-connected route
129	connected-limestone_cut_polished_slab_connecting	connected-census	213	100	174	1	isolated default-state census of an exact predicate-connected route
130	connected-limestone_cut_polished_stairs_connecting	connected-census	162	100	177	1	isolated default-state census of an exact predicate-connected route
131	connected-limestone_cut_small_brick_connecting	connected-census	165	100	177	1	isolated default-state census of an exact predicate-connected route
132	connected-limestone_cut_small_brick_slab_connecting	connected-census	168	100	177	1	isolated default-state census of an exact predicate-connected route
133	connected-limestone_cut_small_brick_stairs_connecting	connected-census	171	100	177	1	isolated default-state census of an exact predicate-connected route
134	connected-mangrove_window_bars_connecting	connected-census	174	100	177	1	isolated default-state census of an exact predicate-connected route
135	forced-disconnected-mangrove_window_bars	forced-disconnected	175	100	177	1	matching bridge route whose Fusion sheet must be forced to tile 0
136	connected-mangrove_window_covered_connecting	connected-census	177	100	177	1	isolated default-state census of an exact predicate-connected route
137	forced-disconnected-mangrove_window_covered	forced-disconnected	178	100	177	1	matching bridge route whose Fusion sheet must be forced to tile 0
138	connected-mangrove_window_diagonal_connecting	connected-census	180	100	177	1	isolated default-state census of an exact predicate-connected route
139	forced-disconnected-mangrove_window_diagonal	forced-disconnected	181	100	177	1	matching bridge route whose Fusion sheet must be forced to tile 0
140	connected-mangrove_window_large_connecting	connected-census	183	100	177	1	isolated default-state census of an exact predicate-connected route
141	forced-disconnected-mangrove_window_large	forced-disconnected	184	100	177	1	matching bridge route whose Fusion sheet must be forced to tile 0
142	connected-mangrove_window_panes_connecting	connected-census	186	100	177	1	isolated default-state census of an exact predicate-connected route
143	forced-disconnected-mangrove_window_panes	forced-disconnected	187	100	177	1	matching bridge route whose Fusion sheet must be forced to tile 0
144	connected-mangrove_window_slim_connecting	connected-census	189	100	177	1	isolated default-state census of an exact predicate-connected route
145	forced-disconnected-mangrove_window_slim	forced-disconnected	190	100	177	1	matching bridge route whose Fusion sheet must be forced to tile 0
146	connected-mangrove_window_swirling_connecting	connected-census	192	100	177	1	isolated default-state census of an exact predicate-connected route
147	forced-disconnected-mangrove_window_swirling	forced-disconnected	193	100	177	1	matching bridge route whose Fusion sheet must be forced to tile 0
148	connected-mangrove_window_tiles_connecting	connected-census	195	100	177	1	isolated default-state census of an exact predicate-connected route
149	forced-disconnected-mangrove_window_tiles	forced-disconnected	196	100	177	1	matching bridge route whose Fusion sheet must be forced to tile 0
150	connected-oak_window_bars_connecting	connected-census	198	100	177	1	isolated default-state census of an exact predicate-connected route
151	forced-disconnected-oak_window_bars	forced-disconnected	199	100	177	1	matching bridge route whose Fusion sheet must be forced to tile 0
152	connected-oak_window_covered_connecting	connected-census	201	100	177	1	isolated default-state census of an exact predicate-connected route
153	forced-disconnected-oak_window_covered	forced-disconnected	202	100	177	1	matching bridge route whose Fusion sheet must be forced to tile 0
154	connected-oak_window_diagonal_connecting	connected-census	204	100	177	1	isolated default-state census of an exact predicate-connected route
155	forced-disconnected-oak_window_diagonal	forced-disconnected	205	100	177	1	matching bridge route whose Fusion sheet must be forced to tile 0
156	connected-oak_window_large_connecting	connected-census	207	100	177	1	isolated default-state census of an exact predicate-connected route
157	forced-disconnected-oak_window_large	forced-disconnected	208	100	177	1	matching bridge route whose Fusion sheet must be forced to tile 0
158	connected-oak_window_rounded_connecting	connected-census	210	100	177	1	isolated default-state census of an exact predicate-connected route
159	forced-disconnected-oak_window_rounded	forced-disconnected	211	100	177	1	matching bridge route whose Fusion sheet must be forced to tile 0
160	connected-oak_window_slim_connecting	connected-census	213	100	177	1	isolated default-state census of an exact predicate-connected route
161	forced-disconnected-oak_window_slim	forced-disconnected	214	100	177	1	matching bridge route whose Fusion sheet must be forced to tile 0
162	connected-oak_window_swirling_connecting	connected-census	162	100	180	1	isolated default-state census of an exact predicate-connected route
163	forced-disconnected-oak_window_swirling	forced-disconnected	163	100	180	1	matching bridge route whose Fusion sheet must be forced to tile 0
164	connected-oak_window_tiles_connecting	connected-census	165	100	180	1	isolated default-state census of an exact predicate-connected route
165	forced-disconnected-oak_window_tiles	forced-disconnected	166	100	180	1	matching bridge route whose Fusion sheet must be forced to tile 0
166	connected-ochrum_cut_polished_connecting	connected-census	168	100	180	1	isolated default-state census of an exact predicate-connected route
167	connected-ochrum_cut_polished_slab_connecting	connected-census	171	100	180	1	isolated default-state census of an exact predicate-connected route
168	connected-ochrum_cut_polished_stairs_connecting	connected-census	174	100	180	1	isolated default-state census of an exact predicate-connected route
169	connected-ochrum_cut_small_brick_connecting	connected-census	177	100	180	1	isolated default-state census of an exact predicate-connected route
170	connected-ochrum_cut_small_brick_slab_connecting	connected-census	180	100	180	1	isolated default-state census of an exact predicate-connected route
171	connected-ochrum_cut_small_brick_stairs_connecting	connected-census	183	100	180	1	isolated default-state census of an exact predicate-connected route
172	connected-rose_quartz_bricks_connecting	connected-census	186	100	180	1	isolated default-state census of an exact predicate-connected route
173	forced-disconnected-rose_quartz_bricks	forced-disconnected	187	100	180	1	matching bridge route whose Fusion sheet must be forced to tile 0
174	connected-rose_quartz_chiseled_connecting	connected-census	189	100	180	1	isolated default-state census of an exact predicate-connected route
175	forced-disconnected-rose_quartz_chiseled	forced-disconnected	190	100	180	1	matching bridge route whose Fusion sheet must be forced to tile 0
176	connected-rose_quartz_crushed_connecting	connected-census	192	100	180	1	isolated default-state census of an exact predicate-connected route
177	forced-disconnected-rose_quartz_crushed	forced-disconnected	193	100	180	1	matching bridge route whose Fusion sheet must be forced to tile 0
178	connected-rose_quartz_polished_block_connecting	connected-census	195	100	180	1	isolated default-state census of an exact predicate-connected route
179	forced-disconnected-rose_quartz_polished_block	forced-disconnected	196	100	180	1	matching bridge route whose Fusion sheet must be forced to tile 0
180	connected-rose_quartz_squares_connecting	connected-census	198	100	180	1	isolated default-state census of an exact predicate-connected route
181	forced-disconnected-rose_quartz_squares	forced-disconnected	199	100	180	1	matching bridge route whose Fusion sheet must be forced to tile 0
182	connected-rose_quartz_tiles_connecting	connected-census	201	100	180	1	isolated default-state census of an exact predicate-connected route
183	connected-scorchia_cut_polished_connecting	connected-census	204	100	180	1	isolated default-state census of an exact predicate-connected route
184	connected-scorchia_cut_polished_slab_connecting	connected-census	207	100	180	1	isolated default-state census of an exact predicate-connected route
185	connected-scorchia_cut_polished_stairs_connecting	connected-census	210	100	180	1	isolated default-state census of an exact predicate-connected route
186	connected-scorchia_cut_small_brick_connecting	connected-census	213	100	180	1	isolated default-state census of an exact predicate-connected route
187	connected-scorchia_cut_small_brick_slab_connecting	connected-census	162	100	183	1	isolated default-state census of an exact predicate-connected route
188	connected-scorchia_cut_small_brick_stairs_connecting	connected-census	165	100	183	1	isolated default-state census of an exact predicate-connected route
189	connected-scoria_cut_polished_connecting	connected-census	168	100	183	1	isolated default-state census of an exact predicate-connected route
190	connected-scoria_cut_polished_slab_connecting	connected-census	171	100	183	1	isolated default-state census of an exact predicate-connected route
191	connected-scoria_cut_polished_stairs_connecting	connected-census	174	100	183	1	isolated default-state census of an exact predicate-connected route
192	connected-scoria_cut_small_brick_connecting	connected-census	177	100	183	1	isolated default-state census of an exact predicate-connected route
193	connected-scoria_cut_small_brick_slab_connecting	connected-census	180	100	183	1	isolated default-state census of an exact predicate-connected route
194	connected-scoria_cut_small_brick_stairs_connecting	connected-census	183	100	183	1	isolated default-state census of an exact predicate-connected route
195	connected-spruce_window_bars_connecting	connected-census	186	100	183	1	isolated default-state census of an exact predicate-connected route
196	forced-disconnected-spruce_window_bars	forced-disconnected	187	100	183	1	matching bridge route whose Fusion sheet must be forced to tile 0
197	connected-spruce_window_covered_connecting	connected-census	189	100	183	1	isolated default-state census of an exact predicate-connected route
198	forced-disconnected-spruce_window_covered	forced-disconnected	190	100	183	1	matching bridge route whose Fusion sheet must be forced to tile 0
199	connected-spruce_window_diagonal_connecting	connected-census	192	100	183	1	isolated default-state census of an exact predicate-connected route
200	forced-disconnected-spruce_window_diagonal	forced-disconnected	193	100	183	1	matching bridge route whose Fusion sheet must be forced to tile 0
201	connected-spruce_window_large_connecting	connected-census	195	100	183	1	isolated default-state census of an exact predicate-connected route
202	forced-disconnected-spruce_window_large	forced-disconnected	196	100	183	1	matching bridge route whose Fusion sheet must be forced to tile 0
203	connected-spruce_window_panes_connecting	connected-census	198	100	183	1	isolated default-state census of an exact predicate-connected route
204	forced-disconnected-spruce_window_panes	forced-disconnected	199	100	183	1	matching bridge route whose Fusion sheet must be forced to tile 0
205	connected-spruce_window_rounded_connecting	connected-census	201	100	183	1	isolated default-state census of an exact predicate-connected route
206	forced-disconnected-spruce_window_rounded	forced-disconnected	202	100	183	1	matching bridge route whose Fusion sheet must be forced to tile 0
207	connected-spruce_window_slim_connecting	connected-census	204	100	183	1	isolated default-state census of an exact predicate-connected route
208	forced-disconnected-spruce_window_slim	forced-disconnected	205	100	183	1	matching bridge route whose Fusion sheet must be forced to tile 0
209	connected-spruce_window_swirling_connecting	connected-census	207	100	183	1	isolated default-state census of an exact predicate-connected route
210	forced-disconnected-spruce_window_swirling	forced-disconnected	208	100	183	1	matching bridge route whose Fusion sheet must be forced to tile 0
211	connected-spruce_window_tiles_connecting	connected-census	210	100	183	1	isolated default-state census of an exact predicate-connected route
212	forced-disconnected-spruce_window_tiles	forced-disconnected	211	100	183	1	matching bridge route whose Fusion sheet must be forced to tile 0
213	connected-tuff_cut_polished_connecting	connected-census	213	100	183	1	isolated default-state census of an exact predicate-connected route
214	connected-tuff_cut_polished_slab_connecting	connected-census	162	100	186	1	isolated default-state census of an exact predicate-connected route
215	connected-tuff_cut_polished_stairs_connecting	connected-census	165	100	186	1	isolated default-state census of an exact predicate-connected route
216	connected-tuff_cut_small_brick_connecting	connected-census	168	100	186	1	isolated default-state census of an exact predicate-connected route
217	connected-tuff_cut_small_brick_slab_connecting	connected-census	171	100	186	1	isolated default-state census of an exact predicate-connected route
218	connected-tuff_cut_small_brick_stairs_connecting	connected-census	174	100	186	1	isolated default-state census of an exact predicate-connected route
219	connected-veridium_cut_polished_connecting	connected-census	177	100	186	1	isolated default-state census of an exact predicate-connected route
220	connected-veridium_cut_polished_slab_connecting	connected-census	180	100	186	1	isolated default-state census of an exact predicate-connected route
221	connected-veridium_cut_polished_stairs_connecting	connected-census	183	100	186	1	isolated default-state census of an exact predicate-connected route
222	connected-veridium_cut_small_brick_connecting	connected-census	186	100	186	1	isolated default-state census of an exact predicate-connected route
223	connected-veridium_cut_small_brick_slab_connecting	connected-census	189	100	186	1	isolated default-state census of an exact predicate-connected route
224	connected-veridium_cut_small_brick_stairs_connecting	connected-census	192	100	186	1	isolated default-state census of an exact predicate-connected route
225	connected-warped_window_bars_connecting	connected-census	195	100	186	1	isolated default-state census of an exact predicate-connected route
226	forced-disconnected-warped_window_bars	forced-disconnected	196	100	186	1	matching bridge route whose Fusion sheet must be forced to tile 0
227	connected-warped_window_covered_connecting	connected-census	198	100	186	1	isolated default-state census of an exact predicate-connected route
228	forced-disconnected-warped_window_covered	forced-disconnected	199	100	186	1	matching bridge route whose Fusion sheet must be forced to tile 0
229	connected-warped_window_diagonal_connecting	connected-census	201	100	186	1	isolated default-state census of an exact predicate-connected route
230	forced-disconnected-warped_window_diagonal	forced-disconnected	202	100	186	1	matching bridge route whose Fusion sheet must be forced to tile 0
231	connected-warped_window_large_connecting	connected-census	204	100	186	1	isolated default-state census of an exact predicate-connected route
232	forced-disconnected-warped_window_large	forced-disconnected	205	100	186	1	matching bridge route whose Fusion sheet must be forced to tile 0
233	connected-warped_window_panes_connecting	connected-census	207	100	186	1	isolated default-state census of an exact predicate-connected route
234	forced-disconnected-warped_window_panes	forced-disconnected	208	100	186	1	matching bridge route whose Fusion sheet must be forced to tile 0
235	connected-warped_window_rounded_connecting	connected-census	210	100	186	1	isolated default-state census of an exact predicate-connected route
236	forced-disconnected-warped_window_rounded	forced-disconnected	211	100	186	1	matching bridge route whose Fusion sheet must be forced to tile 0
237	connected-warped_window_slim_connecting	connected-census	213	100	186	1	isolated default-state census of an exact predicate-connected route
238	forced-disconnected-warped_window_slim	forced-disconnected	214	100	186	1	matching bridge route whose Fusion sheet must be forced to tile 0
239	connected-warped_window_tiles_connecting	connected-census	162	100	189	1	isolated default-state census of an exact predicate-connected route
240	forced-disconnected-warped_window_tiles	forced-disconnected	163	100	189	1	matching bridge route whose Fusion sheet must be forced to tile 0
241	mask-full-none	layout-mask	162	100	198	1	canonical FULL UP-face mask 0x00
242	mask-full-top	layout-mask	168	100	198	2	canonical FULL UP-face mask 0x01
243	mask-full-right	layout-mask	174	100	198	2	canonical FULL UP-face mask 0x04
244	mask-full-bottom	layout-mask	180	100	198	2	canonical FULL UP-face mask 0x10
245	mask-full-left	layout-mask	186	100	198	2	canonical FULL UP-face mask 0x40
246	mask-full-top-right	layout-mask	192	100	198	3	canonical FULL UP-face mask 0x05
247	mask-full-top-bottom	layout-mask	198	100	198	3	canonical FULL UP-face mask 0x11
248	mask-full-left-right	layout-mask	162	100	204	3	canonical FULL UP-face mask 0x44
249	mask-full-cardinals	layout-mask	168	100	204	5	canonical FULL UP-face mask 0x55
250	mask-full-one-diagonal	layout-mask	174	100	204	6	canonical FULL UP-face mask 0x57
251	mask-full-mask-dd	layout-mask	180	100	204	7	canonical FULL UP-face mask 0xdd
252	mask-full-full-edge47	layout-mask	186	100	204	8	canonical FULL UP-face mask 0x7f
253	mask-full-full-edge46	layout-mask	192	100	204	8	canonical FULL UP-face mask 0xfd
254	mask-full-all	layout-mask	198	100	204	9	canonical FULL UP-face mask 0xff
255	mask-simple-none	layout-mask	162	100	210	1	canonical SIMPLE UP-face mask 0x00
